gender,event,medal,athlete,alpha_3,country,grp_id,type,year,guide,country_name,iso_n3,athlete_country
Men,Double FITA Round Team Amputee,Gold,POHL K.,DEU,FR Germany,3.0,Archery,1980,,Germany,276,POHL K. - DEU
Men,Double FITA Round Team Amputee,Silver,APPELKVIST Sune,SWE,Sweden,1.0,Archery,1980,,Sweden,752,APPELKVIST Sune - SWE
Men,Double FITA Round Team Amputee,Silver,BABKIN Nicolai,SWE,Sweden,2.0,Archery,1980,,Sweden,752,BABKIN Nicolai - SWE
Men,Double FITA Round Team Amputee,Silver,CARSSON Jan O.,SWE,Sweden,3.0,Archery,1980,,Sweden,752,CARSSON Jan O. - SWE
Men,Double FITA Round Team Paraplegic,Gold,BARDOEL Filip,BEL,Belgium,1.0,Archery,1980,,Belgium,56,BARDOEL Filip - BEL
Men,Double FITA Round Team Paraplegic,Gold,GRUN Guy,BEL,Belgium,2.0,Archery,1980,,Belgium,56,GRUN Guy - BEL
Men,Double FITA Round Team Paraplegic,Gold,MEYSEN Jozef,BEL,Belgium,3.0,Archery,1980,,Belgium,56,MEYSEN Jozef - BEL
Men,Double FITA Round Team Paraplegic,Silver,BUCHANAN J.CORRIE Alan,GBR,Great Britain,1.0,Archery,1980,,United Kingdom of Great Britain and Northern Ireland,826,BUCHANAN J.CORRIE Alan - GBR
Men,Double FITA Round Team Paraplegic,Silver,SMITH I.,GBR,Great Britain,2.0,Archery,1980,,United Kingdom of Great Britain and Northern Ireland,826,SMITH I. - GBR
Men,Double FITA Round Team Paraplegic,Bronze,GEISS H.PFEFFER U.SCHMIDBERGER R.,DEU,FR Germany,1.0,Archery,1980,,Germany,276,GEISS H.PFEFFER U.SCHMIDBERGER R. - DEU
Men,Double FITA Round C1-C2,Gold,BAREFOOT David,CAN,,,Archery,1984,,Canada,124,BAREFOOT David - CAN
Men,"Double FITA Round C3,C6",Gold,THORNE Philip,GBR,,,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,THORNE Philip - GBR
Men,Double FITA Round Div. 3,Gold,LOVVOLD Kjell,NOR,,,Archery,1984,,Norway,578,LOVVOLD Kjell - NOR
Men,Double FITA Round Div. 3,Silver,KUYS Alfons,BEL,,,Archery,1984,,Belgium,56,KUYS Alfons - BEL
Men,Double FITA Round Div. 3,Bronze,TANQUEREL Benoit,FRA,,,Archery,1984,,France,250,TANQUEREL Benoit - FRA
Men,Double FITA Round Integrated,Gold,THULIN Jan,SWE,,,Archery,1984,,Sweden,752,THULIN Jan - SWE
Men,Double FITA Round Integrated,Silver,REBOLLO Antonio,ESP,,,Archery,1984,,Spain,724,REBOLLO Antonio - ESP
Men,Double FITA Round Integrated,Bronze,TIRRONEN Raimo,FIN,,,Archery,1984,,Finland,246,TIRRONEN Raimo - FIN
Men,Double FITA Round Paraplegic,Gold,GRUN Guy,BEL,,,Archery,1984,,Belgium,56,GRUN Guy - BEL
Men,Double FITA Round Paraplegic,Silver,WEIJERS J.,NLD,,,Archery,1984,,"Netherlands, Kingdom of the",528,WEIJERS J. - NLD
Men,Double FITA Round Paraplegic,Bronze,LAUKKANEN Heikki,FIN,,,Archery,1984,,Finland,246,LAUKKANEN Heikki - FIN
Men,Double FITA Round Tetraplegic,Gold,LETTNER Felix,AUT,,,Archery,1984,,Austria,40,LETTNER Felix - AUT
Men,Double FITA Round Tetraplegic,Silver,KONEMAN K.,NLD,,,Archery,1984,,"Netherlands, Kingdom of the",528,KONEMAN K. - NLD
Men,Double FITA Round Tetraplegic,Bronze,STEBEKK Oddbjorn,NOR,,,Archery,1984,,Norway,578,STEBEKK Oddbjorn - NOR
Men,Double Short Metric Round Paraplegic,Gold,BAUDOIS Michel,CHE,,,Archery,1984,,Switzerland,756,BAUDOIS Michel - CHE
Men,Double Short Metric Round Paraplegic,Silver,KIM H. S.,KOR,,,Archery,1984,,"Korea, Republic of",410,KIM H. S. - KOR
Men,Double Short Metric Round Paraplegic,Bronze,DE MASI Pasquale,ITA,,,Archery,1984,,Italy,380,DE MASI Pasquale - ITA
Men,Double Short Metric Round Tetraplegic,Gold,HOLM Kenneth,SWE,,,Archery,1984,,Sweden,752,HOLM Kenneth - SWE
Men,Double Advanced Metric Round Paraplegic,Gold,CHAPUIS J. M.,FRA,,,Archery,1984,,France,250,CHAPUIS J. M. - FRA
Men,Double Advanced Metric Round Paraplegic,Silver,BOUCHITE C.,FRA,,,Archery,1984,,France,250,BOUCHITE C. - FRA
Men,Double Advanced Metric Round Paraplegic,Bronze,KRISHNER Patrick,USA,,,Archery,1984,,United States of America,840,KRISHNER Patrick - USA
Men,Double Advanced Metric Round Tetraplegic,Gold,FRANK Gerhard,AUT,,,Archery,1984,,Austria,40,FRANK Gerhard - AUT
Men,Double Advanced Metric Round Tetraplegic,Silver,TREWHELLA Ian,AUS,,,Archery,1984,,Australia,36,TREWHELLA Ian - AUS
Men,Double Advanced Metric Round Tetraplegic,Bronze,ARNOLD Ernest,GBR,,,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,ARNOLD Ernest - GBR
Women,Double FITA Round Div. 3,Gold,HILDERLEY Helen,GBR,,,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,HILDERLEY Helen - GBR
Women,Double FITA Round Div. 3,Silver,LEAPER Beverley,GBR,,,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,LEAPER Beverley - GBR
Women,Double FITA Round Integrated,Gold,DERSEN Anneliese,DEU,,,Archery,1984,,Germany,276,DERSEN Anneliese - DEU
Women,Double FITA Round Integrated,Silver,LACOMBLEZ Martine,BEL,,,Archery,1984,,Belgium,56,LACOMBLEZ Martine - BEL
Women,Double FITA Round Integrated,Bronze,MONACO Irene,ITA,,,Archery,1984,,Italy,380,MONACO Irene - ITA
Women,Double FITA Round Paraplegic,Gold,HAGEL Susan,USA,,,Archery,1984,,United States of America,840,HAGEL Susan - USA
Women,Double FITA Round Paraplegic,Silver,SUZUKI Hifumi,JPN,,,Archery,1984,,Japan,392,SUZUKI Hifumi - JPN
Women,Double FITA Round Paraplegic,Bronze,DAVIES Susan,AUS,,,Archery,1984,,Australia,36,DAVIES Susan - AUS
Women,Double Short Metric Round Paraplegic,Gold,BALME M. P.,FRA,,,Archery,1984,,France,250,BALME M. P. - FRA
Women,Double Short Metric Round Paraplegic,Silver,SCHWEIZER Rosa,AUT,,,Archery,1984,,Austria,40,SCHWEIZER Rosa - AUT
Women,Double Short Metric Round Paraplegic,Bronze,GRAY Anne,GBR,,,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,GRAY Anne - GBR
Men,Double FITA Round Team 1A-6,Gold,,BEL,Belgium,1.0,Archery,1984,,Belgium,56,
Men,Double FITA Round Team 1A-6,Silver,,NLD,Netherlands,1.0,Archery,1984,,"Netherlands, Kingdom of the",528,
Men,Double FITA Round Team 1A-6,Bronze,,GBR,Great Britain,1.0,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,
Men,Double FITA Round Team Integrated,Gold,AHLINDER S.BABKIN Nicolai,SWE,Sweden,1.0,Archery,1984,,Sweden,752,AHLINDER S.BABKIN Nicolai - SWE
Men,Double FITA Round Team Integrated,Gold,TJERNELL Arne,SWE,Sweden,2.0,Archery,1984,,Sweden,752,TJERNELL Arne - SWE
Men,Double FITA Round Team Integrated,Silver,DUCRET Rene,FRA,France,1.0,Archery,1984,,France,250,DUCRET Rene - FRA
Men,Double FITA Round Team Integrated,Silver,HAMART George,FRA,France,2.0,Archery,1984,,France,250,HAMART George - FRA
Men,Double FITA Round Team Integrated,Silver,LELON Daniel,FRA,France,3.0,Archery,1984,,France,250,LELON Daniel - FRA
Men,Double FITA Round Team Integrated,Bronze,BOECKERS Manfred,DEU,FR Germany,1.0,Archery,1984,,Germany,276,BOECKERS Manfred - DEU
Men,Double FITA Round Team Integrated,Bronze,BRENNE Manfred,DEU,FR Germany,2.0,Archery,1984,,Germany,276,BRENNE Manfred - DEU
Men,Double FITA Round Team Integrated,Bronze,BUTENHOFF Kilmar,DEU,FR Germany,3.0,Archery,1984,,Germany,276,BUTENHOFF Kilmar - DEU
Men,Short Metric Round Team 1A-6,Gold,,FRA,France,1.0,Archery,1984,,France,250,
Men,Short Metric Round Team 1A-6,Silver,,AUS,Australia,1.0,Archery,1984,,Australia,36,
Men,Short Metric Round Team 1A-6,Bronze,,GBR,Great Britain,1.0,Archery,1984,,United Kingdom of Great Britain and Northern Ireland,826,
Men,Double Advanced Metric Round Team 1A-6,Gold,,FRA,France,1.0,Archery,1984,,France,250,
Men,"Single FITA Round C7,C8",Gold,KUYS Alfons,BEL,,,Archery,1988,,Belgium,56,KUYS Alfons - BEL
Men,"Single FITA Round C7,C8",Silver,TASHIRO Kiyotaka,JPN,,,Archery,1988,,Japan,392,TASHIRO Kiyotaka - JPN
Men,"Single FITA Round C7,C8",Bronze,KIM Kyung Sun,KOR,,,Archery,1988,,"Korea, Republic of",410,KIM Kyung Sun - KOR
Men,Double FITA Round Open,Gold,AN Tae Sung,KOR,,,Archery,1988,,"Korea, Republic of",410,AN Tae Sung - KOR
Men,Double FITA Round Open,Silver,SCALISI Carmelo,BEL,,,Archery,1988,,Belgium,56,SCALISI Carmelo - BEL
Men,Double FITA Round Open,Bronze,REBOLLO Antonio,ESP,,,Archery,1988,,Spain,724,REBOLLO Antonio - ESP
Men,Double FITA Round 2-6,Gold,BAUDOIS Michel,CHE,,,Archery,1988,,Switzerland,756,BAUDOIS Michel - CHE
Men,Double FITA Round 2-6,Silver,KIM Hee Sook,KOR,,,Archery,1988,,"Korea, Republic of",410,KIM Hee Sook - KOR
Men,Double FITA Round 2-6,Bronze,WOLF Udo,DEU,,,Archery,1988,,Germany,276,WOLF Udo - DEU
Men,Double Short Metric Round 1A-1C,Gold,RANTAVOURI Martti,FIN,,,Archery,1988,,Finland,246,RANTAVOURI Martti - FIN
Men,Double Short Metric Round 1A-1C,Silver,FUJII Narumi,JPN,,,Archery,1988,,Japan,392,FUJII Narumi - JPN
Men,Double Short Metric Round 1A-1C,Bronze,STAUNER Michael,USA,,,Archery,1988,,United States of America,840,STAUNER Michael - USA
Women,Double FITA Round Open,Gold,LEE Kyung Hee,KOR,,,Archery,1988,,"Korea, Republic of",410,LEE Kyung Hee - KOR
Women,Double FITA Round Open,Silver,DERSEN Anneliese,DEU,,,Archery,1988,,Germany,276,DERSEN Anneliese - DEU
Women,Double FITA Round Open,Bronze,MORGENSEN Birthe,DNK,,,Archery,1988,,Denmark,208,MORGENSEN Birthe - DNK
Women,Double FITA Round 2-6,Gold,WATTS Karen,GBR,,,Archery,1988,,United Kingdom of Great Britain and Northern Ireland,826,WATTS Karen - GBR
Women,Double FITA Round 2-6,Silver,KORVA Elli,FIN,,,Archery,1988,,Finland,246,KORVA Elli - FIN
Women,Double FITA Round 2-6,Bronze,FANTATO Paola,ITA,,,Archery,1988,,Italy,380,FANTATO Paola - ITA
Men,Double FITA Round Team Open,Gold,AN Tae Sung,KOR,Korea,1.0,Archery,1988,,"Korea, Republic of",410,AN Tae Sung - KOR
Men,Double FITA Round Team Open,Gold,CHO Hyun Kwan,KOR,Korea,2.0,Archery,1988,,"Korea, Republic of",410,CHO Hyun Kwan - KOR
Men,Double FITA Round Team Open,Gold,KIM Sung Hee,KOR,Korea,3.0,Archery,1988,,"Korea, Republic of",410,KIM Sung Hee - KOR
Men,Double FITA Round Team Open,Gold,LEE Hak Young,KOR,Korea,4.0,Archery,1988,,"Korea, Republic of",410,LEE Hak Young - KOR
Men,Double FITA Round Team Open,Silver,KALLUNKI Keijo,FIN,Finland,1.0,Archery,1988,,Finland,246,KALLUNKI Keijo - FIN
Men,Double FITA Round Team Open,Silver,TIRRONEN Raimo,FIN,Finland,2.0,Archery,1988,,Finland,246,TIRRONEN Raimo - FIN
Men,Double FITA Round Team Open,Silver,VIINIKKA Veijo,FIN,Finland,3.0,Archery,1988,,Finland,246,VIINIKKA Veijo - FIN
Men,Double FITA Round Team Open,Bronze,COURTILLON Lucien,FRA,France,1.0,Archery,1988,,France,250,COURTILLON Lucien - FRA
Men,Double FITA Round Team Open,Bronze,FAVRE Jean-Michel,FRA,France,2.0,Archery,1988,,France,250,FAVRE Jean-Michel - FRA
Men,Double FITA Round Team Open,Bronze,LELOU Daniel,FRA,France,3.0,Archery,1988,,France,250,LELOU Daniel - FRA
Men,Double FITA Round Team 2-6,Gold,JANG Ki Ki,KOR,Korea,1.0,Archery,1988,,"Korea, Republic of",410,JANG Ki Ki - KOR
Men,Double FITA Round Team 2-6,Gold,KIM Hee Sook,KOR,Korea,2.0,Archery,1988,,"Korea, Republic of",410,KIM Hee Sook - KOR
Men,Double FITA Round Team 2-6,Gold,KIM Ho Sung,KOR,Korea,3.0,Archery,1988,,"Korea, Republic of",410,KIM Ho Sung - KOR
Men,Double FITA Round Team 2-6,Gold,YOON Choon Heung,KOR,Korea,4.0,Archery,1988,,"Korea, Republic of",410,YOON Choon Heung - KOR
Men,Double FITA Round Team 2-6,Silver,AMADI Fabio,ITA,Italy,1.0,Archery,1988,,Italy,380,AMADI Fabio - ITA
Men,Double FITA Round Team 2-6,Silver,GABELLI Giuseppe,ITA,Italy,2.0,Archery,1988,,Italy,380,GABELLI Giuseppe - ITA
Men,Double FITA Round Team 2-6,Silver,KOTEN Giuliano,ITA,Italy,3.0,Archery,1988,,Italy,380,KOTEN Giuliano - ITA
Men,Double FITA Round Team 2-6,Silver,PIZZORNI Orazio,ITA,Italy,4.0,Archery,1988,,Italy,380,PIZZORNI Orazio - ITA
Men,Double FITA Round Team 2-6,Bronze,INOUE Yoshihiro,JPN,Japan,1.0,Archery,1988,,Japan,392,INOUE Yoshihiro - JPN
Men,Double FITA Round Team 2-6,Bronze,OKANISHI Michio,JPN,Japan,2.0,Archery,1988,,Japan,392,OKANISHI Michio - JPN
Men,Double FITA Round Team 2-6,Bronze,UCHIYAMA Junji,JPN,Japan,3.0,Archery,1988,,Japan,392,UCHIYAMA Junji - JPN
Men,Double FITA Round Team 2-6,Bronze,YOSHIDA Shigetoshi,JPN,Japan,4.0,Archery,1988,,Japan,392,YOSHIDA Shigetoshi - JPN
Women,Double FITA Round Team 2-6,Gold,ANIC Wilma,GBR,Great Britain,1.0,Archery,1988,,United Kingdom of Great Britain and Northern Ireland,826,ANIC Wilma - GBR
Women,Double FITA Round Team 2-6,Gold,COOPER Joan,GBR,Great Britain,2.0,Archery,1988,,United Kingdom of Great Britain and Northern Ireland,826,COOPER Joan - GBR
Women,Double FITA Round Team 2-6,Gold,WATTS Karen,GBR,Great Britain,3.0,Archery,1988,,United Kingdom of Great Britain and Northern Ireland,826,WATTS Karen - GBR
Women,Double FITA Round Team 2-6,Silver,DROSDZIOK Ursula,DEU,FR Germany,1.0,Archery,1988,,Germany,276,DROSDZIOK Ursula - DEU
Women,Double FITA Round Team 2-6,Silver,ENZMANN Inge,DEU,FR Germany,2.0,Archery,1988,,Germany,276,ENZMANN Inge - DEU
Women,Double FITA Round Team 2-6,Silver,KIEBLICH Karin,DEU,FR Germany,3.0,Archery,1988,,Germany,276,KIEBLICH Karin - DEU
Women,Double FITA Round Team 2-6,Bronze,COLLIN Sirkka Liisa,FIN,Finland,1.0,Archery,1988,,Finland,246,COLLIN Sirkka Liisa - FIN
Women,Double FITA Round Team 2-6,Bronze,JOKIVIRTA Hilkka,FIN,Finland,2.0,Archery,1988,,Finland,246,JOKIVIRTA Hilkka - FIN
Women,Double FITA Round Team 2-6,Bronze,KORVA Elli,FIN,Finland,3.0,Archery,1988,,Finland,246,KORVA Elli - FIN
Men,Individual AR1,Gold,MINAMI Koichi,JPN,,,Archery,1992,,Japan,392,MINAMI Koichi - JPN
Men,Individual AR1,Silver,SPIZZIRRI Richard,USA,,,Archery,1992,,United States of America,840,SPIZZIRRI Richard - USA
Men,Individual AR1,Bronze,MERCANDELLI Giampiero,ITA,,,Archery,1992,,Italy,380,MERCANDELLI Giampiero - ITA
Men,Individual AR2,Gold,PIZZORNI Orazio,ITA,,,Archery,1992,,Italy,380,PIZZORNI Orazio - ITA
Men,Individual AR2,Silver,NORTMANN Hermann,DEU,,,Archery,1992,,Germany,276,NORTMANN Hermann - DEU
Men,Individual AR2,Bronze,WOLF Udo,DEU,,,Archery,1992,,Germany,276,WOLF Udo - DEU
Men,Individual Open,Gold,FUDGE Jens,DNK,,,Archery,1992,,Denmark,208,FUDGE Jens - DNK
Men,Individual Open,Silver,NISHII Kenichi,JPN,,,Archery,1992,,Japan,392,NISHII Kenichi - JPN
Men,Individual Open,Bronze,CHO Hyun Kwan,KOR,,,Archery,1992,,"Korea, Republic of",410,CHO Hyun Kwan - KOR
Women,Individual AR2,Gold,FANTATO Paola,ITA,,,Archery,1992,,Italy,380,FANTATO Paola - ITA
Women,Individual AR2,Silver,KORVA Elli,FIN,,,Archery,1992,,Finland,246,KORVA Elli - FIN
Women,Individual AR2,Bronze,SUZUKI Hifumi,JPN,,,Archery,1992,,Japan,392,SUZUKI Hifumi - JPN
Women,Individual Open,Silver,THULIN Siv,SWE,,,Archery,1992,,Sweden,752,THULIN Siv - SWE
Women,Individual Open,Bronze,TVED Hanne,DNK,,,Archery,1992,,Denmark,208,TVED Hanne - DNK
Men,Teams AR2,Gold,BAHLS Karl,DEU,Germany,1.0,Archery,1992,,Germany,276,BAHLS Karl - DEU
Men,Teams AR2,Gold,NORTMANN Hermann,DEU,Germany,2.0,Archery,1992,,Germany,276,NORTMANN Hermann - DEU
Men,Teams AR2,Gold,WOLF Udo,DEU,Germany,3.0,Archery,1992,,Germany,276,WOLF Udo - DEU
Men,Teams AR2,Silver,GABELLI Giuseppe,ITA,Italy,1.0,Archery,1992,,Italy,380,GABELLI Giuseppe - ITA
Men,Teams AR2,Silver,MALOVINI Luciano,ITA,Italy,2.0,Archery,1992,,Italy,380,MALOVINI Luciano - ITA
Men,Teams AR2,Silver,PIZZORNI Orazio,ITA,Italy,3.0,Archery,1992,,Italy,380,PIZZORNI Orazio - ITA
Men,Teams AR2,Bronze,CHOI Jang Sub,KOR,Korea,1.0,Archery,1992,,"Korea, Republic of",410,CHOI Jang Sub - KOR
Men,Teams AR2,Bronze,JANG Ki Ki,KOR,Korea,2.0,Archery,1992,,"Korea, Republic of",410,JANG Ki Ki - KOR
Men,Teams AR2,Bronze,LEE Ouk Soo,KOR,Korea,3.0,Archery,1992,,"Korea, Republic of",410,LEE Ouk Soo - KOR
Men,Teams Open,Gold,CHO Hyun Kwan,KOR,Korea,1.0,Archery,1992,,"Korea, Republic of",410,CHO Hyun Kwan - KOR
Men,Teams Open,Gold,KIM Sung Hee,KOR,Korea,2.0,Archery,1992,,"Korea, Republic of",410,KIM Sung Hee - KOR
Men,Teams Open,Gold,LEE Hak Young,KOR,Korea,3.0,Archery,1992,,"Korea, Republic of",410,LEE Hak Young - KOR
Men,Teams Open,Silver,FERNANDEZ Jose,ESP,Spain,1.0,Archery,1992,,Spain,724,FERNANDEZ Jose - ESP
Men,Teams Open,Silver,HERMOSIN Jose Luis,ESP,Spain,2.0,Archery,1992,,Spain,724,HERMOSIN Jose Luis - ESP
Men,Teams Open,Silver,REBOLLO Antonio,ESP,Spain,3.0,Archery,1992,,Spain,724,REBOLLO Antonio - ESP
Men,Teams Open,Bronze,FAVRE Jean-Michel,FRA,France,1.0,Archery,1992,,France,250,FAVRE Jean-Michel - FRA
Men,Teams Open,Bronze,GARCIA Jean Francois,FRA,France,2.0,Archery,1992,,France,250,GARCIA Jean Francois - FRA
Men,Teams Open,Bronze,LE BRAS Rene,FRA,France,3.0,Archery,1992,,France,250,LE BRAS Rene - FRA
Men,Individual W1,Gold,RANTAVOURI Martti,FIN,,,Archery,1996,,Finland,246,RANTAVOURI Martti - FIN
Men,Individual W1,Silver,MACCAFERRI Kurt,CHE,,,Archery,1996,,Switzerland,756,MACCAFERRI Kurt - CHE
Men,Individual W1,Bronze,MINAMI Koichi,JPN,,,Archery,1996,,Japan,392,MINAMI Koichi - JPN
Men,Individual W2,Gold,LEE Ouk Soo,KOR,,,Archery,1996,,"Korea, Republic of",410,LEE Ouk Soo - KOR
Men,Individual W2,Silver,WALSTRA Jappie,NLD,,,Archery,1996,,"Netherlands, Kingdom of the",528,WALSTRA Jappie - NLD
Men,Individual W2,Bronze,WOLF Udo,DEU,,,Archery,1996,,Germany,276,WOLF Udo - DEU
Men,Individual Standing,Gold,OLEJNIK Ryszard,POL,,,Archery,1996,,Poland,616,OLEJNIK Ryszard - POL
Men,Individual Standing,Silver,GARCIA Jean Francois,FRA,,,Archery,1996,,France,250,GARCIA Jean Francois - FRA
Men,Individual Standing,Bronze,AN Tae Sung,KOR,,,Archery,1996,,"Korea, Republic of",410,AN Tae Sung - KOR
Women,Individual W2,Gold,SUZUKI Hifumi,JPN,,,Archery,1996,,Japan,392,SUZUKI Hifumi - JPN
Women,Individual W2,Silver,TRUCCOLO Sandra,ITA,,,Archery,1996,,Italy,380,TRUCCOLO Sandra - ITA
Women,Individual W2,Bronze,FANTATO Paola,ITA,,,Archery,1996,,Italy,380,FANTATO Paola - ITA
Women,Individual Standing,Gold,OLEJNIK Malgorzata,POL,,,Archery,1996,,Poland,616,OLEJNIK Malgorzata - POL
Women,Individual Standing,Silver,CHAPMAN Anita,GBR,,,Archery,1996,,United Kingdom of Great Britain and Northern Ireland,826,CHAPMAN Anita - GBR
Women,Individual Standing,Bronze,HYBOIS Marie-Francoise,FRA,,,Archery,1996,,France,250,HYBOIS Marie-Francoise - FRA
Men,Teams W1/W2,Gold,NORTMANN Hermann,DEU,Germany,1.0,Archery,1996,,Germany,276,NORTMANN Hermann - DEU
Men,Teams W1/W2,Gold,OEHME Mario,DEU,Germany,2.0,Archery,1996,,Germany,276,OEHME Mario - DEU
Men,Teams W1/W2,Gold,WOLF Udo,DEU,Germany,3.0,Archery,1996,,Germany,276,WOLF Udo - DEU
Men,Teams W1/W2,Silver,GABELLI Giuseppe,ITA,Italy,1.0,Archery,1996,,Italy,380,GABELLI Giuseppe - ITA
Men,Teams W1/W2,Silver,MAI Marco,ITA,Italy,2.0,Archery,1996,,Italy,380,MAI Marco - ITA
Men,Teams W1/W2,Silver,MALOVINI Luciano,ITA,Italy,3.0,Archery,1996,,Italy,380,MALOVINI Luciano - ITA
Men,Teams W1/W2,Bronze,LEE Ouk Soo,KOR,Korea,1.0,Archery,1996,,"Korea, Republic of",410,LEE Ouk Soo - KOR
